listing_id,name,host_id,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,listing_url,accommodates (groups)
26625221,"Cosy 1 bedroom apartment, perfect location!",37751798,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",134,0,,,,,,,,"https://www.airbnb.com/rooms/26625221","3"
27345638,"Lovely Fully equipped garden apartment",74743263,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",145,0,,,,,,,,"https://www.airbnb.com/rooms/27345638","3"
27412213,"Cozy 1br apartment near Amstel station/river",18720963,"Apartment","Entire home/apt",4,1,1,1,"Real Bed",100,0,,,,,,,,"https://www.airbnb.com/rooms/27412213","4"
27516765,"Furnished apartment (74M2) with backyard in Adam",24314617,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",95,0,,,,,,,,"https://www.airbnb.com/rooms/27516765","3"
27735332,"Beautiful Da Costa Apartment",209401602,"Apartment","Entire home/apt",1,1,1,1,"Real Bed",99,0,,,,,,,,"https://www.airbnb.com/rooms/27735332","1"
27839016,"Westerpark cosy apartment",26690041,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",150,0,,,,,,,,"https://www.airbnb.com/rooms/27839016","3"
28117844,"Ã‰norme appartement, au mois, super location!",19801210,"Apartment","Private room",1,1,1,1,"Real Bed",50,0,,,,,,,,"https://www.airbnb.com/rooms/28117844","1"
28299286,"Amsterdam Appartement",213709369,"Apartment","Entire home/apt",1,1,1,1,"Real Bed",70,0,,,,,,,,"https://www.airbnb.com/rooms/28299286","1"
28466146,"Amsterdam Centre East",214887512,"Apartment","Entire home/apt",1,1,1,1,"Real Bed",100,0,,,,,,,,"https://www.airbnb.com/rooms/28466146","1"
28490033,"Amsterdam room - females only",63194084,"Apartment","Private room",1,1,1,1,"Real Bed",40,0,,,,,,,,"https://www.airbnb.com/rooms/28490033","1"
28723714,"Beautiful apartment near the center of Amsterdam",215994099,"Apartment","Private room",1,1,1,1,"Real Bed",50,0,,,,,,,,"https://www.airbnb.com/rooms/28723714","1"
29010643,"Central De Pijp Huge Top Floor One Bedroom",22866980,"Apartment","Entire home/apt",6,1,1,1,"Real Bed",180,0,,,,,,,,"https://www.airbnb.com/rooms/29010643",">4"
29043106,"Cool apartment in Amsterdam",48131134,"Apartment","Entire home/apt",4,1,1,1,"Real Bed",84,0,,,,,,,,"https://www.airbnb.com/rooms/29043106","4"
29321992,"Private room Amsterdam",13997215,"Apartment","Private room",1,1,1,1,"Real Bed",75,0,,,,,,,,"https://www.airbnb.com/rooms/29321992","1"
29390941,"Unique designer apartment in central Amsterdam",6556556,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",179,0,,,,,,,,"https://www.airbnb.com/rooms/29390941","3"
29476965,"Stylish Stay at A-Location on the Canals",62921131,"Apartment","Entire home/apt",4,1,1,1,"Real Bed",110,0,,,,,,,,"https://www.airbnb.com/rooms/29476965","4"
29510512,"Quiet flat nestled in the heart of the city",222228327,"Apartment","Entire home/apt",4,1,1,1,"Real Bed",118,0,,,,,,,,"https://www.airbnb.com/rooms/29510512","4"
29528424,"Private room in a Luxe Home in Amsterdam",222351419,"Apartment","Private room",4,1,1,1,"Real Bed",76,0,,,,,,,,"https://www.airbnb.com/rooms/29528424","4"
29779849,"A bright room available near the Vondelpark!!!!",219947781,"Apartment","Private room",1,1,1,1,"Real Bed",30,0,,,,,,,,"https://www.airbnb.com/rooms/29779849","1"
29787995,"Spacious apartment in vibrant De Pijp",16904437,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",145,0,,,,,,,,"https://www.airbnb.com/rooms/29787995","3"
30014123,"Sunny apartment with view 10 min. from city center",2829587,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",140,0,,,,,,,,"https://www.airbnb.com/rooms/30014123","3"
30014519,"Private room - king bed, Beautiful flat in De Pijp",21271658,"Apartment","Private room",1,1,1,1,"Real Bed",101,0,,,,,,,,"https://www.airbnb.com/rooms/30014519","1"
30041153,"Lovely place in Amsterdam",8489765,"Apartment","Private room",3,1,1,1,"Real Bed",150,0,,,,,,,,"https://www.airbnb.com/rooms/30041153","3"
30106348,"Spacy and cozy room close to the center",225700176,"Apartment","Private room",1,1,1,1,"Real Bed",70,0,,,,,,,,"https://www.airbnb.com/rooms/30106348","1"
30122074,"Amsterdam sharing room with one 5km to city center",74793173,"Apartment","Shared room",1,1,1,1,"Real Bed",45,0,,,,,,,,"https://www.airbnb.com/rooms/30122074","1"
30127376,"Fully private cozy apartment in heart of Amsterdam",83878989,"Apartment","Entire home/apt",4,1,1,1,"Real Bed",180,0,,,,,,,,"https://www.airbnb.com/rooms/30127376","4"
30162139,"Spacious Room with easy access to Amsterdam",226608983,"Apartment","Private room",3,1,1,1,"Real Bed",51,0,,,,,,,,"https://www.airbnb.com/rooms/30162139","3"
30177012,"Beautiful Canal Apartment",226699538,"Apartment","Private room",1,1,1,1,"Real Bed",100,0,,,,,,,,"https://www.airbnb.com/rooms/30177012","1"
30198099,"Amsterdam å¹´æœ«å¹´å§‹ã‚’ï½±ï¾‘ï½½ï¾ƒï¾™ï¾€ï¾žï¾‘ã§",226829605,"Apartment","Private room",1,1,1,1,"Real Bed",26,0,,,,,,,,"https://www.airbnb.com/rooms/30198099","1"
30285961,"Bright & central apt. with piano",8345561,"Apartment","Entire home/apt",4,1,1,1,"Real Bed",95,0,,,,,,,,"https://www.airbnb.com/rooms/30285961","4"
30289724,"COSY room at PERFECT location in Oud-West",19086112,"Apartment","Private room",1,1,1,1,"Real Bed",80,0,,,,,,,,"https://www.airbnb.com/rooms/30289724","1"
30347541,"Romantic Vondelpark Amsterdam Oud Zuid getaway",3809446,"Apartment","Private room",1,1,1,1,"Real Bed",109,0,,,,,,,,"https://www.airbnb.com/rooms/30347541","1"
30363665,"Amsterdam West- Groundfloor Apartment with Garden",9012282,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",220,0,,,,,,,,"https://www.airbnb.com/rooms/30363665","3"
30371430,"Garden Apartment Westerpark",4844634,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",65,0,,,,,,,,"https://www.airbnb.com/rooms/30371430","3"
30386011,"AMSTERDAM ROOM WITH ROOF TERRACE",29384550,"Apartment","Private room",1,1,1,1,"Real Bed",25,0,,,,,,,,"https://www.airbnb.com/rooms/30386011","1"
30391856,"Cute appartement Amsterdam",5186316,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",100,0,,,,,,,,"https://www.airbnb.com/rooms/30391856","3"
