listing_id,street,neighbourhood,zipcode,city,state,country,latitude,longitude
8278311,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36301818,4.872024494
8315374,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36150018,4.860741277
8330263,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36149279,4.859538909
8496081,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36036058,4.855831958
8658785,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36119092,4.865760325
8736069,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36658146,4.875171899
8843914,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36136388,4.876162201
8855570,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36252527,4.864760126
8880426,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36054855,4.860029938
8880891,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36054534,4.861097513
8916311,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36252136,4.865179073
9101010,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.3610016,4.860668744
9183025,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36047416,4.86625578
9245642,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36214684,4.862953859
9541147,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.3615776,4.867452006
9586600,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36180853,4.864465818
9597782,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36245278,4.86653765
9599927,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.35787095,4.860060703
9709044,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36342954,4.867867728
9731923,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.35966486,4.856678215
9744946,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36168484,4.867104335
9753262,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36054177,4.859003391
9951188,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36203982,4.86674736
10129292,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.35990944,4.859382546
10260830,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36230936,4.86611916
10404760,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36361602,4.876122748
10804725,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.35767609,4.85501771
11135207,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36368792,4.878871578
11200752,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36371071,4.877184404
11310620,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36267588,4.874119464
11348551,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.35942768,4.860422751
11368774,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36125342,4.875844906
11539262,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36211148,4.867231812
11576834,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36068415,4.863960263
11597319,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36406611,4.876521612
11711052,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36388123,4.877812202
11747834,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36540121,4.875035796
11989829,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36126834,4.859663226
12099881,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36272359,4.867709857
12163556,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.35981954,4.86270793
12218939,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36353876,4.876610499
12228450,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36404845,4.87584378
12277592,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36284219,4.87819714
12378320,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36247898,4.863374818
12418682,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36296015,4.86882694
12482590,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36537142,4.875692848
12509835,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36090647,4.863195626
12599255,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.3618867,4.861431349
12699754,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.35748976,4.857667403
12896261,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36266222,4.865528052
12922586,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36189441,4.866249144
12963180,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36153293,4.861432971
12974828,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36292539,4.867813561
